Text;Sentiment
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Queijo Cite receitas que voce gosta de fazer (doces ou salgadas) ? Massas https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Doces Que tipo de ingredientes voce gosta de usar? Leite condensado Cite receitas que voce gosta de fazer (doces ou salgadas) ? Brigadeiro https://www.tudogostoso.com.br/receita/5702-brigadeiro.html;1
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Todos Cite receitas que voce gosta de fazer (doces ou salgadas) ? salgadas https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Doces Que tipo de ingredientes voce gosta de usar? Leite condensado, faria de trigo, ovo Cite receitas que voce gosta de fazer (doces ou salgadas) ? Crepioca , tortas, bolos  https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Sal, pimenta do reino, cebola, alho e especiarias. Cite receitas que voce gosta de fazer (doces ou salgadas) ? Bolo de cenoura com chocolate e a parmegiana.  https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Queijo, frango Cite receitas que voce gosta de fazer (doces ou salgadas) ? Panquecas  https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Doces Que tipo de ingredientes voce gosta de usar? Chocolate Cite receitas que voce gosta de fazer (doces ou salgadas) ? Brownin. Pudim, Bolo, Mousse, Torta https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Doces Que tipo de ingredientes voce gosta de usar? chocolate Cite receitas que voce gosta de fazer (doces ou salgadas) ? Brigadeiro https://www.tudogostoso.com.br/receita/5702-brigadeiro.html;1
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Gosto de todos os tipos  Cite receitas que voce gosta de fazer (doces ou salgadas) ? Bolo, torta, omeletes https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Orégano, pimenta do reino, coentro, cebolinha, alho, cebola Cite receitas que voce gosta de fazer (doces ou salgadas) ? Omelete https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Farinha, acucar, molho, carne, cebol Cite receitas que voce gosta de fazer (doces ou salgadas) ? bolo, salgadinhos, panqueca https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
voce gosta de cozinhar? Sim Prefere receitas simples ou complexas? Simples Prefere receitas doces ou salgadas? Salgadas Que tipo de ingredientes voce gosta de usar? Cebola Cite receitas que voce gosta de fazer (doces ou salgadas) ? Risotos, massas e carnes https://www.tudogostoso.com.br/receita/31600-salmao-no-forno.html;0
